# Program:featureCounts v2.0.2; Command:"featureCounts" "-T" "8" "-p" "-t" "gene" "-a" "gff/merged_TX_combined.saf" "-F" "SAF" "-o" "readCounts/TxF6f6_dna_counts.out" "-Q" "30" "DNAmapped/TxF6f6_merged_sorted_dupsMarked.bam" 
Geneid	Chr	Start	End	Strand	Length	DNAmapped/TxF6f6_merged_sorted_dupsMarked.bam
NChap2_final_00003600	A1	246777947	246782581	-	4635	1245
NChap2_final_00003599	A1	246803943	246806977	+	3035	524
NChap2_final_00003598	A1	246828742	246839446	-	10705	2133
NChap2_final_00003597	A1	246868037	246874227	-	6191	1170
NChap2_final_00003596	A1	246917786	246927727	-	9942	2706
NChap2_final_00003595	A1	246930348	246933512	-	3165	652
NChap2_final_00003594	A1	246959073	246960909	-	1837	471
NChap2_final_00003593	A1	246990900	246996486	+	5587	1339
NChap2_final_00005018	A1	247009077	247013284	+	4208	901
NChap2_final_00003592	A1	247033245	247034412	+	1168	377
NChap2_final_00003591	A1	247034655	247035679	-	1025	319
NChap2_final_00003590	A1	247036678	247038906	-	2229	591
NChap2_final_00003750	A1	247115337	247119306	+	3970	43
NChap2_final_00003746	A1	247118359	247122900	-	4542	321
NChap2_final_00003767	A1	247125497	247126870	-	1374	447
NChap2_final_00003768	A1	247128918	247132055	-	3138	911
NChap2_final_00003769	A1	247133538	247138673	+	5136	1297
NChap2_final_00003770	A1	247139723	247141857	+	2135	580
NChap2_final_00003772	A1	247154064	247159735	-	5672	1397
NChap2_final_00003773	A1	247173818	247176537	+	2720	783
NChap2_final_00003774	A1	247177555	247180287	+	2733	738
NChap2_final_00003775	A1	247180837	247183321	-	2485	683
NChap2_final_00003776	A1	247226402	247230230	+	3829	1097
NChap2_final_00003777	A1	247231118	247234050	-	2933	794
NChap2_final_00003778	A1	247245936	247248896	-	2961	610
NChap2_final_00003779	A1	247254566	247257616	+	3051	877
NChap2_final_00003780	A1	247264241	247266469	-	2229	693
NChap2_final_00003781	A1	247269038	247273739	-	4702	1171
NChap2_final_00003782	A1	247299708	247303263	-	3556	796
NChap2_final_00003783	A1	247318123	247320735	+	2613	825
NChap2_final_00000357	A1	247336230	247337948	+	1719	6
NChap2_final_00003784	A1	247344790	247347322	+	2533	714
NChap2_final_00003785	A1	247347827	247348920	-	1094	380
NChap2_final_00003786	A1	247350078	247356977	-	6900	1829
NChap2_final_00003787	A1	247359531	247364125	-	4595	1235
NChap2_final_00003788	A1	247375148	247383111	+	7964	3042
NChap2_final_00000670	A1	247384846	247390086	-	5241	1739
NChap2_final_00003790	A1	247393670	247394086	-	417	172
NChap2_final_00003791	A1	247394697	247401438	-	6742	1861
NChap2_final_00003792	A1	247442193	247444340	+	2148	533
NChap2_final_00003793	A1	247455014	247462168	-	7155	1877
NChap2_final_00003795	A1	247470638	247471839	-	1202	13
NChap2_final_00003794	A1	247494987	247496415	-	1429	124
NChap2_final_00003796	A1	247525306	247534410	-	9105	435
NChap2_final_00003797	A1	247556716	247557705	-	990	170
NChap2_final_00003799	A1	247563516	247564717	-	1202	233
NChap2_final_00003800	A1	247568358	247573759	-	5402	4874
NChap2_final_00003801	A1	247576486	247578414	+	1929	587
NChap2_final_00003802	A1	247580863	247583359	-	2497	770
NChap2_final_00003803	A1	247584244	247587156	-	2913	850
NChap2_final_00003804	A1	247589437	247591175	-	1739	779
NChap2_final_00003805	A1	247595847	247596128	-	282	96
NChap2_final_00003806	A1	247597107	247598445	-	1339	402
NChap2_final_00003807	A1	247603347	247612151	-	8805	2414
NChap2_final_00009013	A1	247617040	247618897	-	1858	9
NChap2_final_00003809	A1	247637877	247658518	+	20642	5417
NChap2_final_00003810	A1	247707292	247710661	+	3370	938
NChap2_final_00003812	A1	247749706	247750251	-	546	140
NChap2_final_00003813	A1	247757434	247758265	+	832	206
NChap2_final_00003814	A1	247769317	247774631	+	5315	1284
NChap2_final_00003815	A1	247774890	247777653	-	2764	697
NChap2_final_00000810	A1	247784778	247790074	-	5297	14
NChap2_final_00000582	A1	247796325	247796878	+	554	17
NChap2_final_00003816	A1	247815874	247817305	-	1432	324
NChap2_final_00003817	A1	247825191	247830920	+	5730	1324
NChap2_final_00003818	A1	247831713	247832881	-	1169	343
NChap2_final_00003819	A1	247842347	247843700	-	1354	366
NChap2_final_00023111	A1	247864348	247867930	-	3583	30
NChap2_final_00003820	A1	247913995	247917221	-	3227	723
NChap2_final_00003822	A1	247942452	247946679	+	4228	1004
NChap2_final_00003823	A1	247947358	247950068	-	2711	793
NChap2_final_00003824	A1	247952459	247953829	+	1371	406
NChap2_final_00003825	A1	247954216	247957338	-	3123	837
NChap2_final_00018580	A1	248001718	248004187	-	2470	800
NChap2_final_00003826	A1	248016490	248016790	-	301	103
NChap2_final_00003827	A1	248018092	248019184	-	1093	312
NChap2_final_00003828	A1	248021258	248025160	-	3903	1077
NChap2_final_00003829	A1	248030142	248046287	-	16146	2928
NChap2_final_00019117	A1	248047937	248049248	+	1312	259
NChap2_final_00020755	A1	248087103	248087990	-	888	4
NChap2_final_00003831	A1	248143818	248148774	-	4957	1427
NChap2_final_00003832	A1	248152805	248154258	-	1454	585
NChap2_final_00003833	A1	248157057	248160933	+	3877	1385
NChap2_final_00003834	A1	248176231	248181908	+	5678	1597
NChap2_final_00013749	A1	248227086	248229136	-	2051	350
NChap2_final_00003835	A1	248284302	248286973	+	2672	763
NChap2_final_00003836	A1	248293310	248300330	+	7021	1950
NChap2_final_00003497	A1	248351141	248352369	-	1229	6
NChap2_final_00003837	A1	248356351	248357128	-	778	236
NChap2_final_00003838	A1	248522947	248525024	+	2078	195
NChap2_final_00009688	A1	248535013	248537618	-	2606	0
NChap2_final_00003840	A1	248639980	248641562	-	1583	491
NChap2_final_00003841	A1	248696644	248697729	-	1086	47
NChap2_final_00003843	A1	248844195	248845929	+	1735	450
NChap2_final_00003844	A1	248846747	248848582	-	1836	549
NChap2_final_00003845	A1	248848646	248859227	+	10582	732
NChap2_final_00011886	A1	248990657	248996252	+	5596	55
NChap2_final_00003846	A1	249126204	249128083	+	1880	580
NChap2_final_00003848	A1	249134297	249136744	+	2448	643
NChap2_final_00003849	A1	249137063	249138354	-	1292	414
NChap2_final_00003850	A1	249222746	249223855	-	1110	301
NChap2_final_00009396	A1	249261434	249263509	-	2076	611
NChap2_final_00003852	A1	249269398	249271855	-	2458	657
NChap2_final_00003853	A1	249318841	249328257	-	9417	1846
NChap2_final_00003855	A1	249346699	249348381	-	1683	457
NChap2_final_00003856	A1	249350519	249352293	-	1775	512
NChap2_final_00003857	A1	249390519	249392563	-	2045	587
NChap2_final_00003858	A1	249397094	249401050	-	3957	1203
NChap2_final_00003859	A1	249401609	249402690	-	1082	339
NChap2_final_00003860	A1	249408693	249410269	-	1577	490
NChap2_final_00003861	A1	249425717	249427763	-	2047	617
NChap2_final_00003862	A1	249428378	249431578	+	3201	801
NChap2_final_00022979	A1	249456254	249456476	-	223	88
NChap2_final_00003866	A1	249458502	249460379	-	1878	537
NChap2_final_00003867	A1	249462143	249464327	-	2185	622
NChap2_final_00003868	A1	249466094	249468460	-	2367	683
NChap2_final_00024084	A1	249479176	249481806	-	2631	156
NChap2_final_00003869	A1	249701120	249704088	+	2969	791
NChap2_final_00003888	A1	249725100	249728121	+	3022	919
NChap2_final_00003887	A1	249729139	249732156	+	3018	833
NChap2_final_00003886	A1	249768825	249773417	-	4593	1384
NChap2_final_00003885	A1	249778037	249780305	-	2269	647
NChap2_final_00003884	A1	249797024	249801075	+	4052	1214
NChap2_final_00003883	A1	249805138	249809074	+	3937	1078
NChap2_final_00003882	A1	249809478	249811554	+	2077	636
NChap2_final_00003881	A1	249838943	249842591	+	3649	984
NChap2_final_00003880	A1	249843156	249845263	-	2108	703
NChap2_final_00003879	A1	249852422	249853836	+	1415	427
NChap2_final_00003878	A1	249903933	249906175	+	2243	608
NChap2_final_00003877	A1	249915479	249916669	-	1191	398
NChap2_final_00003876	A1	249993479	249997650	+	4172	1085
NChap2_final_00003875	A1	250079539	250080240	+	702	253
NChap2_final_00003874	A1	250083743	250085338	-	1596	421
NChap2_final_00003873	A1	250099322	250103713	+	4392	1216
NChap2_final_00003872	A1	250106197	250107604	+	1408	459
NChap2_final_00003871	A1	250174345	250183738	-	9394	2552
NChap2_final_00018039	A1	250195784	250199594	+	3811	58
NChap2_final_00003889	A1	250225441	250226863	-	1423	337
NChap2_final_00003890	A1	250229591	250231340	+	1750	498
NChap2_final_00003891	A1	250241945	250260707	-	18763	1904
NChap2_final_00003892	A1	250276389	250279499	+	3111	829
NChap2_final_00003893	A1	250280712	250282040	-	1329	316
NChap2_final_00003894	A1	250301651	250302724	-	1074	291
NChap2_final_00003895	A1	250371242	250372522	+	1281	283
NChap2_final_00004739	A1	250543906	250545572	-	1667	486
NChap2_final_00004738	A1	250620561	250621859	+	1299	1
NChap2_final_00004737	A1	250639795	250642223	+	2429	118
NChap2_final_00004736	A1	250658470	250659154	-	685	217
NChap2_final_00004734	A1	250736733	250739255	-	2523	320
NChap2_final_00004733	A1	250760256	250760924	-	669	231
NChap2_final_00004732	A1	250770602	250772755	-	2154	662
NChap2_final_00004730	A1	250828604	250829856	+	1253	468
NChap2_final_00004729	A1	250830419	250839645	-	9227	1055
NChap2_final_00004728	A1	250874758	250878122	+	3365	918
NChap2_final_00004724	A1	250943563	250944621	+	1059	308
NChap2_final_00011434	A1	250983807	250990349	+	6543	100
NChap2_final_00004722	A1	251008170	251009462	+	1293	433
NChap2_final_00004721	A1	251042576	251043088	+	513	172
NChap2_final_00004720	A1	251049760	251054156	-	4397	1393
NChap2_final_00004719	A1	251063943	251066079	-	2137	674
NChap2_final_00004718	A1	251097098	251099551	-	2454	765
NChap2_final_00020065	A1	251182926	251186131	+	3206	486
NChap2_final_00004717	A1	251194460	251195117	+	658	212
NChap2_final_00004716	A1	251280035	251291272	-	11238	3193
NChap2_final_00004715	A1	251360000	251363645	+	3646	1296
NChap2_final_00004714	A1	251396861	251399423	-	2563	728
NChap2_final_00004713	A1	251442658	251443646	+	989	289
NChap2_final_00004712	A1	251468294	251477600	+	9307	2850
NChap2_final_00002715	A1	251558866	251560158	+	1293	13
NChap2_final_00004711	A1	251573852	251579579	+	5728	317
NChap2_final_00004710	A1	251637036	251639086	-	2051	651
NChap2_final_00004709	A1	251702283	251703773	-	1491	465
NChap2_final_00004708	A1	251703780	251706512	-	2733	771
NChap2_final_00004707	A1	251790231	251797507	-	7277	1995
NChap2_final_00004706	A1	251822872	251823651	+	780	245
NChap2_final_00004705	A1	251903251	251905840	+	2590	819
NChap2_final_00026442	A1	251947829	251948453	+	625	1
NChap2_final_00004704	A1	251986008	251988778	+	2771	779
NChap2_final_00027029	A1	252067640	252068390	+	751	21
NChap2_final_00004703	A1	252069826	252072230	+	2405	904
NChap2_final_00004702	A1	252074007	252078996	-	4990	1558
NChap2_final_00023259	A1	252097178	252098680	-	1503	81
NChap2_final_00004700	A1	252350635	252356029	-	5395	1574
NChap2_final_00004699	A1	252358946	252368688	-	9743	2709
NChap2_final_00004698	A1	252409163	252411415	+	2253	695
NChap2_final_00004697	A1	252412055	252412633	+	579	247
NChap2_final_00020081	A1	252459609	252461981	+	2373	10
NChap2_final_00004695	A1	252477799	252485330	+	7532	2259
NChap2_final_00012523	A1	252490045	252490679	-	635	210
NChap2_final_00004694	A1	252642500	252643535	+	1036	307
NChap2_final_00004693	A1	252649111	252652130	-	3020	840
NChap2_final_00004692	A1	252665089	252667398	-	2310	665
NChap2_final_00004691	A1	252671290	252673733	-	2444	688
NChap2_final_00012338	A1	252694340	252697284	+	2945	192
NChap2_final_00016821	A1	253019496	253022160	-	2665	202
NChap2_final_00027253	A1	253030913	253034415	-	3503	611
NChap2_final_00004689	A1	253380017	253384380	+	4364	1237
NChap2_final_00004687	A1	253495990	253501107	+	5118	1364
NChap2_final_00004686	A1	253656560	253657411	-	852	0
NChap2_final_00004685	A1	253677242	253681756	+	4515	1404
NChap2_final_00004684	A1	253718376	253721176	+	2801	795
NChap2_final_00004683	A1	253802658	253807364	-	4707	1326
NChap2_final_00004682	A1	253856648	253857788	-	1141	328
NChap2_final_00004681	A1	254030162	254030848	+	687	212
NChap2_final_00004680	A1	254051941	254054456	+	2516	671
NChap2_final_00004679	A1	254098575	254100384	+	1810	542
NChap2_final_00023160	A1	254172422	254175889	+	3468	39
NChap2_final_00004677	A1	254206929	254207316	-	388	0
NChap2_final_00004676	A1	254237191	254246070	+	8880	1744
NChap2_final_00004675	A1	254245681	254255501	-	9821	2543
NChap2_final_00028669	A1	254272111	254275120	+	3010	61
NChap2_final_00004674	A1	254288929	254290103	-	1175	380
NChap2_final_00004672	A1	254292107	254293732	+	1626	374
NChap2_final_00004671	A1	254299571	254307767	+	8197	824
NChap2_final_00004670	A1	254317271	254319746	+	2476	688
NChap2_final_00004669	A1	254320409	254321955	-	1547	480
NChap2_final_00004667	A1	254333390	254333951	+	562	213
NChap2_final_00004666	A1	254333994	254334416	+	423	162
NChap2_final_00004665	A1	254334876	254335295	+	420	122
NChap2_final_00004664	A1	254336210	254339611	-	3402	960
NChap2_final_00004663	A1	254340146	254349137	-	8992	3259
NChap2_final_00004662	A1	254456025	254457090	+	1066	344
NChap2_final_00004661	A1	254458888	254462218	+	3331	814
NChap2_final_00004660	A1	254463321	254465100	+	1780	567
NChap2_final_00008138	A1	254506080	254507305	-	1226	33
NChap2_final_00004659	A1	254519754	254520270	+	517	168
NChap2_final_00004658	A1	254571409	254575235	-	3827	367
NChap2_final_00004657	A1	254596547	254603666	+	7120	2215
NChap2_final_00004656	A1	254613845	254614933	+	1089	317
NChap2_final_00004655	A1	254615933	254617713	-	1781	502
NChap2_final_00004654	A1	254669502	254672581	+	3080	730
NChap2_final_00004653	A1	254672372	254678947	-	6576	1388
NChap2_final_00004652	A1	254688871	254691089	-	2219	684
NChap2_final_00004651	A1	254740533	254744000	+	3468	830
NChap2_final_00004650	A1	254745625	254748617	-	2993	932
NChap2_final_00004649	A1	254752141	254759942	-	7802	2068
NChap2_final_00027816	A1	254761694	254763547	-	1854	86
NChap2_final_00004648	A1	254837094	254839282	-	2189	650
NChap2_final_00004647	A1	254849037	254849935	-	899	345
NChap2_final_00004646	A1	254873317	254874646	-	1330	347
NChap2_final_00004645	A1	254934287	254935201	+	915	297
NChap2_final_00004644	A1	255036776	255038901	+	2126	727
NChap2_final_00016988	A1	255083132	255084347	+	1216	541
NChap2_final_00004643	A1	255085365	255085997	+	633	131
NChap2_final_00016987	A1	255086649	255088311	+	1663	294
NChap2_final_00004642	A1	255106479	255109610	+	3132	946
NChap2_final_00004641	A1	255118820	255122645	-	3826	1081
NChap2_final_00004640	A1	255130708	255132204	+	1497	413
NChap2_final_00004639	A1	255177056	255178760	-	1705	513
NChap2_final_00004638	A1	255179737	255180977	+	1241	361
NChap2_final_00006897	A1	255188126	255190903	+	2778	876
NChap2_final_00004637	A1	255210551	255216982	-	6432	1492
NChap2_final_00004636	A1	255247056	255250340	+	3285	770
NChap2_final_00004635	A1	255300470	255301632	-	1163	348
NChap2_final_00012899	A1	255326377	255326764	+	388	148
NChap2_final_00004634	A1	255392211	255397447	+	5237	1212
NChap2_final_00004633	A1	255406318	255408600	+	2283	581
NChap2_final_00004632	A1	255439051	255444468	+	5418	1462
NChap2_final_00004631	A1	255459686	255460448	+	763	223
NChap2_final_00004630	A1	255481080	255483602	+	2523	704
NChap2_final_00004628	A1	255541310	255541618	-	309	153
NChap2_final_00004625	A1	255590814	255592538	+	1725	466
NChap2_final_00004624	A1	255613034	255622091	+	9058	2649
NChap2_final_00004623	A1	255623552	255624745	-	1194	347
NChap2_final_00004622	A1	255660150	255662412	+	2263	675
NChap2_final_00004621	A1	255666178	255667760	+	1583	450
NChap2_final_00004620	A1	255668127	255673567	-	5441	1603
NChap2_final_00004617	A1	255884120	255886660	+	2541	626
NChap2_final_00004616	A1	255886642	255888942	-	2301	486
NChap2_final_00004615	A1	255891854	255894525	+	2672	793
NChap2_final_00004614	A1	255910921	255913107	+	2187	806
NChap2_final_00004613	A1	255916318	255921564	+	5247	1303
NChap2_final_00004612	A1	255923059	255943938	-	20880	3227
NChap2_final_00004611	A1	255950990	255952874	-	1885	482
NChap2_final_00004610	A1	255966208	255971715	+	5508	1624
NChap2_final_00004609	A1	255979160	255982938	+	3779	913
NChap2_final_00004608	A1	255991468	255996392	-	4925	633
NChap2_final_00004607	A1	255997924	255999627	-	1704	515
NChap2_final_00004606	A1	256005070	256006009	+	940	230
NChap2_final_00008108	A1	256036443	256037066	+	624	12
NChap2_final_00012904	A1	256049591	256050241	-	651	76
NChap2_final_00004239	A1	256070182	256072218	+	2037	420
NChap2_final_00008040	A1	256072407	256072635	+	229	23
NChap2_final_00004604	A1	256089256	256090752	+	1497	443
NChap2_final_00004603	A1	256092051	256094434	+	2384	724
NChap2_final_00004602	A1	256095012	256100925	-	5914	1729
NChap2_final_00004601	A1	256102781	256104076	+	1296	390
NChap2_final_00004600	A1	256143903	256145955	+	2053	592
NChap2_final_00004599	A1	256152447	256156229	+	3783	1854
NChap2_final_00004598	A1	256172037	256181872	+	9836	1070
NChap2_final_00004597	A1	256183384	256184602	+	1219	375
NChap2_final_00004596	A1	256249109	256250215	-	1107	303
NChap2_final_00004595	A1	256310287	256311204	-	918	273
NChap2_final_00019480	A1	256516214	256516274	-	61	10
NChap2_final_00010354	A1	256524810	256529587	+	4778	41
NChap2_final_00003344	A1	256594663	256603718	+	9056	2192
NChap2_final_00003343	A1	256604656	256605724	+	1069	322
NChap2_final_00003342	A1	256618109	256623769	-	5661	1348
NChap2_final_00016282	A1	256656444	256657564	+	1121	171
NChap2_final_00010608	A1	256663650	256667431	-	3782	3163
NChap2_final_00003341	A1	256710058	256717083	+	7026	1926
NChap2_final_00003340	A1	256717367	256719389	-	2023	561
NChap2_final_00003339	A1	256733048	256737234	+	4187	1165
NChap2_final_00003338	A1	256757617	256759095	+	1479	437
NChap2_final_00003337	A1	256776574	256784437	+	7864	2192
NChap2_final_00003336	A1	256786367	256788673	-	2307	653
NChap2_final_00003335	A1	256792203	256798797	-	6595	1782
NChap2_final_00003334	A1	256807301	256810342	-	3042	816
NChap2_final_00003333	A1	256843025	256846472	-	3448	1035
NChap2_final_00003332	A1	256846773	256851625	+	4853	1301
NChap2_final_00003331	A1	256949433	256955170	-	5738	1552
NChap2_final_00003330	A1	256958301	256962336	+	4036	1058
NChap2_final_00003329	A1	256961971	256966921	-	4951	1357
NChap2_final_00003324	A1	256974905	256976582	+	1678	500
NChap2_final_00003323	A1	256978920	256981540	-	2621	777
NChap2_final_00021732	A1	257093244	257098103	+	4860	26
NChap2_final_00003310	A1	257175451	257178485	-	3035	940
NChap2_final_00003309	A1	257196191	257198728	+	2538	843
NChap2_final_00003308	A1	257206193	257208255	+	2063	570
NChap2_final_00003307	A1	257209095	257210061	-	967	325
NChap2_final_00003306	A1	257211325	257212538	-	1214	441
NChap2_final_00003304	A1	257214943	257218381	+	3439	989
NChap2_final_00003303	A1	257273481	257275341	-	1861	393
NChap2_final_00003302	A1	257277841	257280321	-	2481	617
NChap2_final_00003301	A1	257281417	257283437	-	2021	664
NChap2_final_00003300	A1	257285328	257290167	-	4840	1435
NChap2_final_00022524	A1	257292309	257295476	+	3168	34
NChap2_final_00003299	A1	257312777	257316308	-	3532	1069
NChap2_final_00003298	A1	257357087	257358493	-	1407	373
NChap2_final_00003297	A1	257373466	257374463	-	998	311
NChap2_final_00003296	A1	257394487	257395418	+	932	276
NChap2_final_00003295	A1	257402782	257405039	-	2258	589
NChap2_final_00003294	A1	257421877	257424109	+	2233	604
NChap2_final_00003293	A1	257506652	257509776	-	3125	926
NChap2_final_00003292	A1	257535154	257536610	-	1457	473
NChap2_final_00003291	A1	257551249	257552238	+	990	33
NChap2_final_00003290	A1	257608352	257609317	-	966	350
NChap2_final_00003289	A1	257655055	257656517	-	1463	458
NChap2_final_00003288	A1	257672551	257677564	-	5014	1234
NChap2_final_00017113	A1	257685996	257687818	+	1823	22
NChap2_final_00003286	A1	257716062	257718249	-	2188	640
NChap2_final_00003285	A1	257722747	257727980	-	5234	1286
NChap2_final_00023622	A1	257794134	257795006	+	873	3
NChap2_final_00003284	A1	257801288	257806249	+	4962	15
NChap2_final_00014036	A1	257839834	257844205	-	4372	10
NChap2_final_00003283	A1	258020130	258021164	-	1035	0
NChap2_final_00003282	A1	258098476	258100495	-	2020	395
NChap2_final_00003281	A1	258123774	258125379	-	1606	481
NChap2_final_00003280	A1	258135296	258136030	-	735	206
NChap2_final_00003279	A1	258136489	258138465	-	1977	540
NChap2_final_00003278	A1	258138766	258142712	-	3947	1111
NChap2_final_00003277	A1	258201057	258204034	+	2978	814
NChap2_final_00003276	A1	258213727	258216404	-	2678	732
NChap2_final_00003275	A1	258236472	258238382	-	1911	472
NChap2_final_00003274	A1	258260718	258263766	+	3049	937
NChap2_final_00003271	A1	258300624	258303329	-	2706	739
NChap2_final_00019651	A1	258312980	258313659	-	680	10
NChap2_final_00005094	A1	258329022	258333998	-	4977	379
NChap2_final_00003269	A1	258452858	258458802	-	5945	1471
NChap2_final_00003268	A1	258459787	258462812	-	3026	778
NChap2_final_00003267	A1	258478426	258480733	-	2308	687
NChap2_final_00011000	A1	258487209	258487492	-	284	0
NChap2_final_00028514	A1	258496613	258499768	+	3156	0
NChap2_final_00003266	A1	258508065	258513579	+	5515	1438
NChap2_final_00003265	A1	258563069	258565565	-	2497	817
NChap2_final_00027495	A1	258648884	258650389	+	1506	138
NChap2_final_00003263	A1	258744884	258746454	-	1571	210
NChap2_final_00003262	A1	258769689	258773415	+	3727	903
NChap2_final_00003261	A1	258797032	258799819	-	2788	788
NChap2_final_00016786	A1	258836645	258838823	-	2179	31
NChap2_final_00005922	A1	258982499	258985801	-	3303	0
NChap2_final_00023557	A1	258997519	259001338	+	3820	12
NChap2_final_00003260	A1	259003885	259004296	+	412	142
NChap2_final_00021739	A1	259103759	259105314	-	1556	32
NChap2_final_00003259	A1	259131107	259134590	+	3484	918
NChap2_final_00001545	A1	259141289	259145293	+	4005	2
NChap2_final_00003258	A1	259183390	259183856	-	467	165
NChap2_final_00003257	A1	259247301	259249172	-	1872	600
NChap2_final_00003473	A1	259667862	259670594	-	2733	0
NChap2_final_00016472	A1	260736929	260741032	-	4104	14
NChap2_final_00003254	A1	261336216	261338572	+	2357	769
NChap2_final_00003253	A1	261339624	261341095	+	1472	439
NChap2_final_00003252	A1	261370548	261375622	+	5075	1387
NChap2_final_00003251	A1	261377283	261379390	+	2108	1046
NChap2_final_00003249	A1	261425734	261426127	+	394	138
NChap2_final_00003248	A1	261497911	261504798	+	6888	1623
NChap2_final_00003247	A1	261505115	261507862	-	2748	588
NChap2_final_00003244	A1	261548859	261552363	+	3505	852
NChap2_final_00003243	A1	261570661	261576106	+	5446	1445
NChap2_final_00003242	A1	261586931	261589749	-	2819	674
NChap2_final_00017563	A1	261603133	261603857	+	725	23
NChap2_final_00003241	A1	261608337	261612522	-	4186	1072
NChap2_final_00003240	A1	261616809	261621621	-	4813	1462
NChap2_final_00003239	A1	261684040	261687536	+	3497	987
NChap2_final_00003238	A1	261710162	261716584	-	6423	1557
NChap2_final_00006904	A1	261720983	261724149	+	3167	19
NChap2_final_00003237	A1	261814217	261817566	-	3350	872
NChap2_final_00003235	A1	261893810	261897060	-	3251	812
NChap2_final_00019533	A1	261907227	261913013	+	5787	77
NChap2_final_00019532	A1	261910441	261915392	-	4952	30
NChap2_final_00003234	A1	261921967	261923352	-	1386	443
NChap2_final_00003233	A1	261934563	261937410	+	2848	712
NChap2_final_00003232	A1	261984832	261987178	+	2347	773
NChap2_final_00003231	A1	262019430	262020362	+	933	271
NChap2_final_00003230	A1	262034446	262036277	-	1832	485
NChap2_final_00019161	A1	262127560	262134352	+	6793	70
NChap2_final_00003228	A1	262143171	262144716	+	1546	298
NChap2_final_00003227	A1	262207356	262209947	+	2592	762
NChap2_final_00003226	A1	262373544	262375592	+	2049	644
NChap2_final_00012083	A1	262386472	262387388	+	917	0
NChap2_final_00003225	A1	262447780	262464690	-	16911	2369
NChap2_final_00024334	A1	262476796	262479913	-	3118	400
NChap2_final_00003224	A1	262480803	262481996	-	1194	300
NChap2_final_00003223	A1	262498079	262500551	+	2473	670
NChap2_final_00006827	A1	262535669	262544437	+	8769	783
NChap2_final_00012648	A1	262579930	262585295	-	5366	174
NChap2_final_00003220	A1	262614085	262615283	+	1199	332
NChap2_final_00003219	A1	262669031	262670003	+	973	335
NChap2_final_00003218	A1	262678661	262681539	-	2879	715
NChap2_final_00003217	A1	262683082	262688377	+	5296	1522
NChap2_final_00003216	A1	262689676	262694343	+	4668	1249
NChap2_final_00003215	A1	262694302	262696367	-	2066	502
NChap2_final_00003214	A1	262786518	262786675	-	158	78
NChap2_final_00003213	A1	262790552	262793393	+	2842	709
NChap2_final_00003212	A1	262823834	262824881	+	1048	313
NChap2_final_00003211	A1	262892919	262894615	+	1697	0
NChap2_final_00003210	A1	262902761	262905824	-	3064	773
NChap2_final_00003209	A1	262951394	262954876	+	3483	882
NChap2_final_00007179	A1	262954994	262955822	+	829	0
NChap2_final_00012628	A1	262968690	262973902	+	5213	508
NChap2_final_00023203	A1	262977734	262979152	+	1419	32
NChap2_final_00003208	A1	263038316	263039883	-	1568	481
NChap2_final_00003207	A1	263073738	263077208	-	3471	1006
NChap2_final_00003206	A1	263122650	263124588	+	1939	571
NChap2_final_00003205	A1	263140168	263143465	-	3298	976
NChap2_final_00028246	A1	263306746	263308405	-	1660	271
NChap2_final_00018463	A1	263329474	263331352	+	1879	236
NChap2_final_00028511	A1	263362656	263368041	-	5386	416
NChap2_final_00003199	A1	263369009	263373327	-	4319	1019
NChap2_final_00003196	A1	263493751	263496228	-	2478	707
NChap2_final_00003195	A1	263540622	263542200	-	1579	486
NChap2_final_00003194	A1	263651395	263652638	-	1244	408
NChap2_final_00003193	A1	263655089	263659915	-	4827	1429
NChap2_final_00003191	A1	263713712	263714582	-	871	255
NChap2_final_00003190	A1	263786391	263790753	+	4363	1169
NChap2_final_00003189	A1	263792555	263794860	-	2306	587
NChap2_final_00016143	A1	263805039	263806900	+	1862	40
NChap2_final_00003188	A1	263812000	263813835	-	1836	490
NChap2_final_00003187	A1	263815095	263816650	-	1556	474
NChap2_final_00027387	A1	263823081	263825627	+	2547	366
NChap2_final_00003186	A1	263839022	263840446	-	1425	407
NChap2_final_00003185	A1	263845625	263846999	-	1375	505
NChap2_final_00003184	A1	263848640	263852145	-	3506	677
NChap2_final_00003183	A1	263851955	263864303	+	12349	3089
NChap2_final_00003182	A1	263865533	263870099	-	4567	1056
NChap2_final_00003181	A1	263967539	263974352	-	6814	1754
NChap2_final_00003180	A1	263976561	263977547	-	987	277
NChap2_final_00021296	A1	263984016	263986671	+	2656	3
NChap2_final_00021297	A1	263985106	263985888	-	783	0
NChap2_final_00003179	A1	264000434	264002474	+	2041	496
NChap2_final_00003177	A1	264082085	264083504	+	1420	394
NChap2_final_00023081	A1	264106847	264107465	-	619	6
NChap2_final_00022451	A1	264128393	264131329	+	2937	14
NChap2_final_00003175	A1	264163794	264170712	+	6919	1874
NChap2_final_00003176	A1	264164869	264165254	-	386	0
NChap2_final_00003174	A1	264173005	264176234	+	3230	933
NChap2_final_00003173	A1	264194619	264198302	+	3684	1000
NChap2_final_00003172	A1	264220349	264225186	+	4838	1284
NChap2_final_00003171	A1	264225706	264227303	+	1598	536
NChap2_final_00003170	A1	264228699	264231863	-	3165	910
NChap2_final_00003169	A1	264256571	264258462	+	1892	159
NChap2_final_00003168	A1	264278350	264280576	+	2227	499
NChap2_final_00003167	A1	264288534	264293101	+	4568	659
NChap2_final_00003166	A1	264331300	264333337	-	2038	558
